baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
A1BG	67.6680756047917	0.163724534589458	0.149128792034748	1.09787340429411	0.272259772785469	0.437259713042196
A1CF	9.35842126938334	-0.287732829387935	0.419274985694966	-0.68626280890811	0.492547397011756	0.659144771919521
A2M	55.7369231586862	0.0777525072247816	0.171235763551629	0.454066987013134	0.649780613528542	0.784988167760498
A2ML1	13.7139684148753	-0.160520745051498	0.33505547151003	-0.479087072740708	0.631876685867261	0.772655672465625
A4GALT	152.117100429642	-1.02135834184726	0.110963217652643	-9.20447661354321	3.43340332339303e-20	4.68727965889495e-19
A4GNT	1.2490835766243	-0.925874105784289	1.10969292819232	-0.834351632115501	0.404082864521705	0.577794087056297
AAAS	303.220651756363	-0.135547057570179	0.0794072435809889	-1.70698605640343	0.0878246441017305	0.180819998538996
AACS	283.143844874442	0.112561946341391	0.0757530047236886	1.48590734785985	0.137303629781391	0.259436337958778
AADACL3	1.61340143960338	0.28530309585083	0.971280927091092	0.293739007832975	0.768957344559999	0.866133046284233
AADAT	11.0323681421503	-0.276551842844524	0.36684265781705	-0.753870459041446	0.45092701047714	0.621573619675874
AAGAB	320.836030609272	-0.0624448335965725	0.0748038485880489	-0.834781027650882	0.40384100993756	0.577618518160998
AAK1	1762.5137891613	-0.0647214523194913	0.0417343636826773	-1.55079523463192	0.12095076298378	0.234780477983294
AAMDC	65.7378648711974	0.115901518598483	0.162417523063037	0.713602303573488	0.475473132727124	0.644328289877564
AAMP	564.255115681462	0.120790984782476	0.0581396063056009	2.07760238601478	0.0377459962472038	0.0890756347549386
AANAT	3.63857860390746	0.561000306488375	0.743473811839096	0.754566331126923	0.450509231803614	0.621282974069327
AAR2	275.825312692209	0.293431636895124	0.0796790507368824	3.68266983832551	0.000230803999990268	0.000881163972351582
AARD	32.7585449018137	-0.0276069982987919	0.216035306309876	-0.127789289493233	0.898315726314083	0.945365861496324
AARS	2308.89349812152	-0.324481278323369	0.04000898062701	-8.11021108856527	5.05318994929719e-16	5.62217539250286e-15
AARS2	649.701260959185	-0.384142987091857	0.0568300059954205	-6.7595098815019	1.38459317193949e-11	1.13009688134572e-10
AARSD1	216.441712166866	-0.091078148254363	0.137903437230837	-0.660448717474003	0.508965917596425	0.672277389107879
AASDH	100.503700083166	-0.34805724969977	0.12643868487773	-2.75277499158073	0.00590924949748157	0.0173820429235228
AASDHPPT	366.870246616949	-0.264295522753574	0.0710481731370377	-3.71994818563176	0.000199263653326372	0.000768484085791879
AASS	23.6035425702588	0.675459428823209	0.258249820290134	2.61552719790611	0.00890898256167343	0.0251362715127789
AATF	1580.54054557664	0.419910387079726	0.0489907499738961	8.571217776896	1.02396396200619e-17	1.24829759799791e-16
AATK	62.3542823464702	-0.222569931722993	0.163743212820518	-1.35926202918076	0.174063571658862	0.311683962803969
AB015752.1	0.916476907586595	0.628756917900472	1.30697331018885	0.481078621115547	0.630460621906578	0.77176253075954
ABAT	55.7028816111366	-0.415280364018791	0.169668728856532	-2.44759518632301	0.0143813132821422	0.0384251285597231
ABCA1	964.880268864497	0.0268256356991936	0.0505915043173944	0.530239929828897	0.595945589513657	0.743896683186347
ABCA10	44.844407304556	-0.441101679049852	0.18925103793718	-2.33077548138082	0.0197652016338789	0.0508140969711599
ABCA12	22.5240008435157	-0.491753167280222	0.268323005435028	-1.83269103773994	0.0668485308546811	0.14427557742584
ABCA13	19.1036969163719	-0.0873057081382338	0.282653132244173	-0.308879323024143	0.757413326072577	0.859015289388316
ABCA2	1714.14857311951	0.0585931057231289	0.0346150673364988	1.69270523594641	0.0905115881408302	0.185570388055392
ABCA3	248.312581755331	-0.260458569396495	0.0873172832683987	-2.98289822641286	0.00285532924046164	0.00905702398213398
ABCA5	151.476462952588	-0.081029952199711	0.103566919329588	-0.782392222576821	0.433984103120182	0.605436287804072
ABCA6	17.1257353967743	0.331223851129002	0.294876387445885	1.1232633918163	0.261325646657223	0.423460379012711
ABCA7	248.843021669494	-0.211039448063446	0.0975249363700798	-2.16395371192666	0.0304679020582128	0.0741567918422072
ABCA9	60.6795848437021	-0.281207107340312	0.163202900481907	-1.72305214251684	0.0848790961326441	0.175858040557944
ABCB1	32.3748017274051	3.12697982910478	0.298618517046886	10.4714866982405	1.16794115450366e-25	2.03537473003345e-24
ABCB10	681.402709348214	-0.107523791432583	0.0588656909761397	-1.82659524843029	0.0677606483380445	0.145944409317553
ABCB11	20.6346053493586	-0.432696672856434	0.319741123709721	-1.35327188394215	0.175968787933936	0.314163779817154
ABCB4	328.227174642237	2.29121835795277	0.0833326787110299	27.49483628023	2.0238595690602e-166	2.89356847366927e-164
ABCB5	12.347845611285	-0.406128932137498	0.353114844100276	-1.15013270872908	0.250089216364161	0.410538550365194
ABCB6	25.1146038022115	-0.0233248024540757	0.252954388962409	-0.0922095186794405	0.926531575454775	0.961976795139296
ABCB7	436.393403444144	0.0556634293577725	0.0621162253075237	0.896117384502924	0.370190073167371	0.543923711392522
ABCB8	126.672909089091	-0.41855544127226	0.112986039949551	-3.70448810719578	0.000211818044961358	0.000813704962703868
ABCB9	167.004957617465	-0.378959695852747	0.102273847481568	-3.70534310759205	0.000211104770405643	0.000811558251255789
ABCC1	796.901820063076	-0.0270836010426449	0.0518322192892821	-0.522524433914125	0.601305238667633	0.748052014146418
ABCC10	232.759096973009	-0.606787410428461	0.0860942129963439	-7.04794653798889	1.81577371415132e-12	1.59340777245587e-11
ABCC11	3.73037515945543	-0.0591196419330114	0.696012073862054	-0.0849405407652866	0.932308661361931	0.96538065407911
