"names"	"baseMean.CTLvsPMA.all"	"log2FoldChange.CTLvsPMA.all"	"lfcSE.CTLvsPMA.all"	"stat.CTLvsPMA.all"	"pvalue.CTLvsPMA.all"	"padj.CTLvsPMA.all"	"baseMean.PMA_vs_MOTScPMA.all"	"log2FoldChange.PMA_vs_MOTScPMA.all"	"lfcSE.PMA_vs_MOTScPMA.all"	"stat.PMA_vs_MOTScPMA.all"	"pvalue.PMA_vs_MOTScPMA.all"	"padj.PMA_vs_MOTScPMA.all"
"SNRPF"	"SNRPF"	606.059381774884	-0.017490248132893	0.148144161635729	-0.118062351831993	0.906018253654601	0.950956080017296	609.249151917505	0.280340786779954	0.0955992943801199	2.93245665250696	0.00336291864548613	0.0452536752394251
"SRC"	"SRC"	96.2831554336189	-0.0322017755955868	0.141786247131757	-0.22711494412898	0.820334363926513	0.904835180944297	100.513571743012	0.395023733120871	0.126905191248719	3.11274684064477	0.00185354938798378	0.0300916040722138
"STBD1"	"STBD1"	39.2337570104518	0.0319999667639279	0.205374518199877	0.15581274173841	0.876180626841647	0.935610224585169	49.1488985305621	0.78282196586857	0.224291329625951	3.49020163719246	0.000482656227322717	0.0108651478979655
"TERC"	"TERC"	550.644857372535	-0.0348820061323211	0.0657457234197018	-0.530559317290409	0.595724193781694	0.754051291072356	537.624373395765	0.220704829296977	0.0687141947596871	3.21192484418749	0.0013184886260871	0.0236917147634138
"TMEM120B"	"TMEM120B"	296.580372865086	0.0551217363772304	0.0791758002554084	0.696194243688305	0.486307192098378	0.664211383411663	249.109814471782	-0.309590453914665	0.0890466343466204	-3.47672268790712	0.000507582516844913	0.0113365480715998
"TP53"	"TP53"	88.5604723707511	0.0946924342135172	0.143729700375841	0.658823012682169	0.510009427864694	0.685005669780039	69.9975212050996	-0.563912638710537	0.153355411561163	-3.67716165324645	0.000235843591430435	0.00641865558609886
"XACT"	"XACT"	89.239681694801	-0.00279525396180979	0.140729982763163	-0.0198625332493217	0.984153033380262	0.991775645821494	68.4428722786331	-0.538849503410018	0.181991437228613	-2.96085085988484	0.00306790459965201	0.0426583152771361
"ZBTB46"	"ZBTB46"	183.368798774182	0.0188102223359797	0.102397923488409	0.183697302593338	0.854250925119037	0.923241072179829	186.969087332023	0.290194077701902	0.0970528518961096	2.99006234265574	0.00278920513735884	0.0398820111198972
"ZNF552"	"ZNF552"	125.638809235615	0.0545093406242109	0.111699951244023	0.487997890931288	0.625551334961695	0.776624832071688	103.665044499403	-0.373336922703857	0.128147452818382	-2.91333861495454	0.00357586617076115	0.0470520775885118
"ZNF93"	"ZNF93"	491.936807589453	0.0353727639441701	0.0776433676234048	0.455579980968102	0.648692041458072	0.793715071658428	414.14816163958	-0.282306370091182	0.0839066276026162	-3.36453005152575	0.000766741338510901	0.015659366527328
